lead,target,fold,feature_group,model,rmse,mae,r2,best_params
1,whdi_3,7,climate_only,xgboost,0.9775560802176443,0.8023412462757793,-1.4597394473251364,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,7,climate_only,lstm,0.8411116027596468,0.6557583293886468,-0.8210127698845455,"{'hidden_size': 32, 'dropout': 0.3, 'lr': 0.0005, 'seq_length': 12}"
1,whdi_3,7,local_only,climatology,0.9923441231933584,0.8131795547101845,-1.5347220779095774,
1,whdi_3,7,local_only,persistence,0.4284454932670939,0.3496506346722295,0.5275053435481527,
1,whdi_3,7,local_only,elasticnet,0.36670386774212826,0.28702981763361624,0.6538720065443224,"{'alpha': 0.01, 'l1_ratio': 0.5}"
1,whdi_3,7,local_only,random_forest,0.3886400414251613,0.32262045876595785,0.6112227611880572,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,7,local_only,xgboost,0.36694554085873765,0.28761697917731927,0.6534156306909665,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,7,local_only,lstm,0.6276576506215511,0.48748478271703366,-0.0140313856989005,"{'hidden_size': 64, 'dropout': 0.3, 'lr': 0.001, 'seq_length': 6}"
1,whdi_3,7,combined,climatology,0.9923441231933584,0.8131795547101845,-1.5347220779095774,
1,whdi_3,7,combined,persistence,0.4284454932670939,0.3496506346722295,0.5275053435481527,
1,whdi_3,7,combined,elasticnet,0.36096658602840653,0.27960259100617796,0.664618002183264,"{'alpha': 0.01, 'l1_ratio': 0.9}"
1,whdi_3,7,combined,random_forest,0.3751992564570246,0.30701341650256403,0.6376488186317525,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,7,combined,xgboost,0.3648550619487215,0.2912744666382564,0.6573533458437176,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,7,combined,lstm,0.7732086905492868,0.5955171173748122,-0.5388603038800097,"{'hidden_size': 64, 'dropout': 0.3, 'lr': 0.001, 'seq_length': 6}"
1,whdi_3,8,climate_only,climatology,0.7573490944929787,0.6489820073872675,-0.049604908561529104,
1,whdi_3,8,climate_only,persistence,0.5980380915477738,0.4766054570956864,0.3455276160040862,
1,whdi_3,8,climate_only,elasticnet,0.6556379147875578,0.5745163088402857,0.21338585296914503,"{'alpha': 0.1, 'l1_ratio': 0.9}"
1,whdi_3,8,climate_only,random_forest,0.9140732926589608,0.7602220774539096,-0.5289584093900734,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,8,climate_only,xgboost,0.8806223508769249,0.7360803359907351,-0.4191001306744051,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_alpha': 0.1, 'subsample': 1.0}"
1,whdi_3,8,climate_only,lstm,0.676868618653402,0.5713841354477079,0.16161713955077672,"{'hidden_size': 32, 'dropout': 0.3, 'lr': 0.0005, 'seq_length': 12}"
1,whdi_3,8,local_only,climatology,0.7573490944929787,0.6489820073872675,-0.049604908561529104,
1,whdi_3,8,local_only,persistence,0.5980380915477738,0.4766054570956864,0.3455276160040862,
1,whdi_3,8,local_only,elasticnet,0.4703400081083685,0.3693734733880955,0.5951841795197709,"{'alpha': 0.01, 'l1_ratio': 0.5}"
1,whdi_3,8,local_only,random_forest,0.4848891129846902,0.37209053610014986,0.5697523583885943,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,8,local_only,xgboost,0.48843782132542346,0.3996620652749949,0.5634316947299866,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'subsample': 1.0}"
1,whdi_3,8,local_only,lstm,0.7721617408908253,0.6525303323334293,-0.09106391076220177,"{'hidden_size': 64, 'dropout': 0.3, 'lr': 0.001, 'seq_length': 6}"
1,whdi_3,8,combined,climatology,0.7573490944929787,0.6489820073872675,-0.049604908561529104,
1,whdi_3,8,combined,persistence,0.5980380915477738,0.4766054570956864,0.3455276160040862,
1,whdi_3,8,combined,elasticnet,0.46979570925846875,0.3640164145453978,0.5961205799429663,"{'alpha': 0.01, 'l1_ratio': 0.9}"
1,whdi_3,8,combined,random_forest,0.47560490978726705,0.3581746835889608,0.5860705840884075,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_3,8,combined,xgboost,0.5022189875171977,0.39432593540479016,0.5384487958046782,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_3,8,combined,lstm,0.6081774239626409,0.5172526654761022,0.32314721292618487,"{'hidden_size': 64, 'dropout': 0.3, 'lr': 0.001, 'seq_length': 6}"
1,whdi_6,1,climate_only,climatology,1.3391179631022396,1.0335670124060699,-0.306408082063099,
1,whdi_6,1,climate_only,persistence,0.7923497366726763,0.6635324083261956,0.5426222614712182,
1,whdi_6,1,climate_only,elasticnet,1.2729634741621214,0.9733642011896718,-0.18051924588021762,"{'alpha': 0.1, 'l1_ratio': 0.9}"
1,whdi_6,1,climate_only,random_forest,1.3748007815878989,1.0589592193658595,-0.37695810810049935,"{'max_depth': 5, 'min_samples_leaf': 20, 'n_estimators': 300}"
1,whdi_6,1,climate_only,xgboost,1.3772659861867251,1.0539215568647966,-0.3819006814405974,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'reg_alpha': 0.1, 'subsample': 0.7}"
1,whdi_6,1,climate_only,lstm,1.3070356101255378,1.043502532385112,-0.24456053992752502,"{'hidden_size': 32, 'dropout': 0.2, 'lr': 0.001, 'seq_length': 6}"
1,whdi_6,1,local_only,climatology,1.3391179631022396,1.0335670124060699,-0.306408082063099,
1,whdi_6,1,local_only,persistence,0.7923497366726763,0.6635324083261956,0.5426222614712182,
1,whdi_6,1,local_only,elasticnet,0.3645556315546955,0.28459521300541757,0.9031791680813352,"{'alpha': 0.01, 'l1_ratio': 0.5}"
1,whdi_6,1,local_only,random_forest,0.5569040515881306,0.48469327637632514,0.7740554126814229,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 100}"
1,whdi_6,1,local_only,xgboost,0.4848975133238765,0.40138790524127516,0.8287064141867673,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'subsample': 0.7}"
1,whdi_6,1,local_only,lstm,0.8117938616649438,0.670130431284315,0.5198988865756548,"{'hidden_size': 64, 'dropout': 0.3, 'lr': 0.001, 'seq_length': 6}"
1,whdi_6,1,combined,climatology,1.3391179631022396,1.0335670124060699,-0.306408082063099,
1,whdi_6,1,combined,persistence,0.7923497366726763,0.6635324083261956,0.5426222614712182,
1,whdi_6,1,combined,elasticnet,0.38268142755152607,0.3102905256984819,0.8933119056880021,"{'alpha': 0.01, 'l1_ratio': 0.9}"
1,whdi_6,1,combined,random_forest,0.5772334181499775,0.5019906764584504,0.7572584509536033,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}"
1,whdi_6,1,combined,xgboost,0.5221174489129159,0.4347846499968736,0.8014007510874891,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'subsample': 0.7}"
1,whdi_6,1,combined,lstm,0.8969131241960355,0.7529302277374781,0.41394018342904004,"{'hidden_size': 64, 'dropout': 0.3, 'lr': 0.001, 'seq_length': 6}"
1,whdi_6,2,climate_only,climatology,0.5511298359876032,0.4630752128767137,-0.27199274479631175,
1,whdi_6,2,climate_only,persistence,0.5452757641789449,0.43818280565149753,-0.24511417975637118,
1,whdi_6,2,climate_only,elasticnet,0.5747673864018993,0.5006209597343271,-0.3834422140802902,"{'alpha': 0.1, 'l1_ratio': 0.9}"
1,whdi_6,2,climate_only,random_forest,0.4488485429990348,0.3895297449240433,0.15632257509542413,"{'max_depth': 5, 'min_samples_leaf': 20, 'n_estimators': 300}"
1,whdi_6,2,climate_only,xgboost,0.44991792161668104,0.38923791111473816,0.15229767463491517,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'subsample': 0.7}"
1,whdi_6,2,climate_only,lstm,0.5615705646012817,0.45836372887948645,-0.3206430804077234,"{'hidden_size': 64, 'dropout': 0.3, 'lr': 0.001, 'seq_length': 6}"
1,whdi_6,2,local_only,climatology,0.5511298359876032,0.4630752128767137,-0.27199274479631175,
1,whdi_6,2,local_only,persistence,0.5452757641789449,0.43818280565149753,-0.24511417975637118,
