lead,target,fold,feature_group,model,rmse,skill_vs_clim,skill_vs_persist
1,whdi_6,7,climate_only,xgboost,0.9466568475358216,0.15280119042177032,-5.737178243343411
1,whdi_6,7,climate_only,lstm,0.8646828578235876,0.2931717902076182,-4.620909263511996
1,whdi_6,8,climate_only,elasticnet,0.5636198065200201,0.44453796551406155,-0.16493199199647446
1,whdi_6,8,climate_only,random_forest,0.7564050944488744,-0.0004393787261267601,-1.0981521075688305
1,whdi_6,8,climate_only,xgboost,0.7857703445847665,-0.07962555533989213,-1.2642237825603169
1,whdi_6,8,climate_only,lstm,0.7753909821419299,-0.0512920472667735,-1.2048018816010315
1,whdi_6,1,local_only,elasticnet,0.3645556315546955,0.9258877580076174,0.7883131954998459
1,whdi_6,1,local_only,random_forest,0.5569040515881306,0.8270489976135464,0.5060000339208486
1,whdi_6,1,local_only,xgboost,0.4848975133238765,0.8688820222677103,0.6254877065853225
1,whdi_6,1,local_only,lstm,0.8595025746375098,0.5880384415808257,-0.17668584209909377
1,whdi_6,2,local_only,elasticnet,0.3799322355168915,0.5247693521263773,0.5145104392607767
1,whdi_6,2,local_only,random_forest,0.3632912425062811,0.5654877623317665,0.5561078471153957
1,whdi_6,2,local_only,xgboost,0.3616914160208122,0.5693062611057327,0.5600087766971702
1,whdi_6,2,local_only,lstm,0.4382258557503643,0.36775100124094684,0.35410249726365883
1,whdi_6,3,local_only,elasticnet,0.2999409034306417,0.9020295844534578,0.4844063347318177
1,whdi_6,3,local_only,random_forest,0.3452111330290919,0.8702243699259339,0.3170234871506872
1,whdi_6,3,local_only,xgboost,0.3469869163984701,0.8688857912101032,0.30997888391516015
1,whdi_6,3,local_only,lstm,0.587942165434305,0.6235625916054545,-0.9810954363666526
1,whdi_6,4,local_only,elasticnet,0.2699386938807137,0.9221476996261804,0.7580198700937874
1,whdi_6,4,local_only,random_forest,0.297266027703895,0.905587015842396,0.7065460357421502
1,whdi_6,4,local_only,xgboost,0.2920763877836177,0.9088547452735427,0.7167027759855403
1,whdi_6,4,local_only,lstm,0.5256430506028195,0.7047954687648927,0.08244675527666512
1,whdi_6,5,local_only,elasticnet,0.2948950087982565,0.7765993013457382,0.713752492373818
1,whdi_6,5,local_only,random_forest,0.3287551607878177,0.7223518135340399,0.6442441682073299
1,whdi_6,5,local_only,xgboost,0.3316342574613954,0.7174674718611931,0.6379857695601046
1,whdi_6,5,local_only,lstm,0.5417186737301423,0.24612855070009987,0.03405036451296117
1,whdi_6,6,local_only,elasticnet,0.3604900506901713,0.9365582113698536,0.6123514276541506
1,whdi_6,6,local_only,random_forest,0.512297783027802,0.8718750214522355,0.2171175168872459
1,whdi_6,6,local_only,xgboost,0.5444650552494236,0.8552798929460346,0.11571624790934276
1,whdi_6,6,local_only,lstm,0.8142625072483376,0.6763186110449027,-0.9777914688827336
1,whdi_6,7,local_only,elasticnet,0.2304914950786277,0.9497761518301158,0.6006049425924239
1,whdi_6,7,local_only,random_forest,0.266836417491334,0.9326883280624136,0.46471745879017157
1,whdi_6,7,local_only,xgboost,0.2466093463362284,0.9425064348818091,0.5427939797987205
1,whdi_6,7,local_only,lstm,0.4544786475622248,0.8047337691451188,-0.5528154517003028
1,whdi_6,8,local_only,elasticnet,0.2965006569312649,0.8462789977655192,0.6776116057860988
1,whdi_6,8,local_only,random_forest,0.3375513045054417,0.8007669108285883,0.5821622630701336
1,whdi_6,8,local_only,xgboost,0.336921358693678,0.8015098434572732,0.5837203641343297
1,whdi_6,8,local_only,lstm,0.4034592360704769,0.7153696471298194,0.4030645060043023
1,whdi_6,1,combined,elasticnet,0.382681427551526,0.9183347869805625,0.7667396435708158
1,whdi_6,1,combined,random_forest,0.5772334181499775,0.8141916355392906,0.4692755492927835
1,whdi_6,1,combined,xgboost,0.5221174489129159,0.8479806948232591,0.5657872428349209
1,whdi_6,1,combined,lstm,0.9380086276093338,0.5093452649248275,-0.4014571707547101
1,whdi_6,2,combined,elasticnet,0.3860789620017271,0.5092679436194134,0.49867439829717597
1,whdi_6,2,combined,random_forest,0.3743564630777242,0.5386156859007032,0.5286556770143271
1,whdi_6,2,combined,xgboost,0.3532294715444131,0.58922309548361,0.5803555603414837
1,whdi_6,2,combined,lstm,0.4870678038317155,0.21896409325082933,0.20210369220536517
1,whdi_6,3,combined,elasticnet,0.2994084186472349,0.9023771292412781,0.48623537557029395
1,whdi_6,3,combined,random_forest,0.3357885784559782,0.8772121487290923,0.35379841012212376
1,whdi_6,3,combined,xgboost,0.3345404823711133,0.8781232352642697,0.3585932294910945
