climate_mode,target,lag_months,correlation,p_raw,p_adjusted,n_effective,significant_raw,significant_adj
iod,whdi_6,3,0.03203493576357863,0.451748672006975,0.7806834443348624,78,False,False
iod,whdi_6,4,-0.00470251335302803,0.9119853253862426,0.9674065824085825,78,False,False
iod,whdi_6,5,-0.05614065467968353,0.18622124747883867,0.6231270023702958,79,False,False
iod,whdi_6,6,-0.1141445409946842,0.007054891753981536,0.316514446141973,79,True,False
iod,whdi_6,7,-0.16160306084647383,0.0001296344182118384,0.15478367601986873,79,True,False
iod,whdi_6,8,-0.19381836895969368,4.152321831083753e-06,0.08698749869972836,79,True,False
iod,whdi_6,9,-0.22603558138133617,7.331200204626458e-08,0.04517406327069153,79,True,True
iod,whdi_6,10,-0.2522443172971869,1.7296613455443015e-09,0.024918820491196626,79,True,True
iod,whdi_6,11,-0.26988857191630045,1.1006264722615758e-10,0.016865178907904677,78,True,True
iod,whdi_6,12,-0.27311025708064085,6.729138640576885e-11,0.015550932090835776,78,True,True
iod,wind_std,0,-0.001374415439116863,0.9742046445264733,0.9748414508324972,529,False,False
iod,wind_std,1,-0.02229694332676167,0.5998361380125764,0.6085349086587686,530,False,False
iod,wind_std,2,-0.024635494534222757,0.5621324225831034,0.5718276745490628,529,False,False
iod,wind_std,3,-0.000822406858791051,0.9845631507423992,0.9849157549570902,531,False,False
iod,wind_std,4,-0.02115094220590977,0.6187200928707383,0.6274102128806843,529,False,False
iod,wind_std,5,-0.04276301219107617,0.3141615864192181,0.32580257607177304,530,False,False
iod,wind_std,6,-0.0711566706700323,0.0936992745621615,0.10176498854587078,530,False,False
iod,wind_std,7,-0.050397238694350796,0.2354529385586468,0.24632348109009902,531,False,False
iod,wind_std,8,0.027058753036767108,0.5243094218135325,0.5319005925146237,536,False,False
iod,wind_std,9,0.04680834506700298,0.2709624864107497,0.27936160130295795,536,False,False
iod,wind_std,10,0.03600156368689754,0.39769980129010013,0.40639201298013294,534,False,False
iod,wind_std,11,0.009172163037295913,0.829604674368843,0.8325266685861008,534,False,False
iod,wind_std,12,-4.6923872216525064e-05,0.9991223572777085,0.9991376638129829,533,False,False
iod,runoff_std,0,0.06542961810803201,0.12331993221062948,0.29892261674228854,254,False,False
iod,runoff_std,1,0.023894004181062533,0.5739629995002475,0.7047000651453782,254,False,False
iod,runoff_std,2,-0.0003067121851870737,0.9942426022440518,0.9961113352842084,255,False,False
iod,runoff_std,3,-0.04841015696513768,0.25445551665262667,0.4405740252167268,256,False,False
iod,runoff_std,4,-0.09437147765904542,0.02606736346381122,0.13208847809104118,256,True,False
iod,runoff_std,5,-0.12212615449935028,0.003926415215742489,0.050965788425836635,256,True,False
iod,runoff_std,6,-0.1623207085701514,0.00012085948719678956,0.009276347620247531,256,True,True
iod,runoff_std,7,-0.19163017445760838,5.348201022906288e-06,0.002158598468437486,254,True,True
iod,runoff_std,8,-0.2201966159831438,1.562948290374342e-07,0.00041791516460263506,253,True,True
iod,runoff_std,9,-0.2666401171316736,1.732143073737098e-10,1.721598184323211e-05,253,True,True
iod,runoff_std,10,-0.2874300261785942,5.3462789521104474e-12,3.5115818981734666e-06,252,True,True
iod,runoff_std,11,-0.26590238085069157,2.104302976707893e-10,1.8200099196357344e-05,253,True,True
iod,runoff_std,12,-0.24712445187457244,3.993587587000137e-09,7.094699991468612e-05,253,True,True
