season,climate_mode,target,lag_months,correlation,p_adjusted,n_effective,significant
JJA,iod,whdi_3,2,-0.16069213689981995,0.1684413386311183,75,False
JJA,iod,whdi_3,3,-0.36236943988152226,0.0012963478576430048,76,True
JJA,iod,whdi_3,4,-0.2415819836396913,0.03428869719576671,77,True
JJA,iod,whdi_3,5,-0.11867772710116775,0.3039508302666141,77,False
JJA,iod,whdi_3,6,-0.07121755221553183,0.5382297385103466,77,False
JJA,iod,whdi_3,7,0.01756269000750668,0.8795001227778257,77,False
JJA,iod,whdi_3,8,0.1157369762496272,0.31294861666049545,78,False
JJA,iod,whdi_3,9,0.2579596130682852,0.0244621337895283,76,True
JJA,iod,whdi_3,10,0.07478986124379862,0.5236595147779559,75,False
JJA,iod,whdi_3,11,0.02694307749059946,0.8197484029696451,74,False
JJA,iod,whdi_3,12,0.05570576335413958,0.6373499782935357,74,False
JJA,iod,wind_std,0,0.08763647022824857,0.34744072300858464,117,False
JJA,iod,wind_std,1,0.12748840451325358,0.16889686578488472,118,False
JJA,iod,wind_std,2,0.06862356714467174,0.46028453388296714,118,False
JJA,iod,wind_std,3,-0.028268054376067393,0.7612333472406605,118,False
JJA,iod,wind_std,4,-0.06076617206495707,0.5151553123116382,117,False
JJA,iod,wind_std,5,-0.12697042392741004,0.17630776696954759,115,False
JJA,iod,wind_std,6,-0.06294685978616187,0.5058317894405592,114,False
JJA,iod,wind_std,7,0.040820020813644026,0.6677215527032532,113,False
JJA,iod,wind_std,8,0.08965009667207179,0.3450159739300838,113,False
JJA,iod,wind_std,9,0.09238741698282801,0.33707865536465553,110,False
JJA,iod,wind_std,10,0.12503380825096155,0.193087635559946,110,False
JJA,iod,wind_std,11,0.2550984417031994,0.007154140111031252,110,True
JJA,iod,wind_std,12,0.21380496622445855,0.02559283642253893,109,True
JJA,iod,runoff_std,0,0.058861089725377055,0.5751759791280885,93,False
JJA,iod,runoff_std,1,-0.13887009784428106,0.18677155838167234,92,False
JJA,iod,runoff_std,2,-0.24653405441642362,0.01848489189355292,91,True
JJA,iod,runoff_std,3,-0.40498248651325786,5.6582895277852465e-05,93,True
JJA,iod,runoff_std,4,-0.3383125655188621,0.0009104899746912223,93,True
JJA,iod,runoff_std,5,-0.16073879073534575,0.12376261333668055,93,False
JJA,iod,runoff_std,6,-0.000675443344090752,0.9949015168548386,92,False
JJA,iod,runoff_std,7,0.07677053944362909,0.46452529141379134,93,False
JJA,iod,runoff_std,8,0.14359806839713884,0.17206414043476506,92,False
JJA,iod,runoff_std,9,0.22907256038892182,0.02895227066764967,91,True
JJA,iod,runoff_std,10,0.1490554378097203,0.16087227787842823,90,False
JJA,iod,runoff_std,11,0.06576337091969768,0.5380051770091975,90,False
JJA,iod,runoff_std,12,0.006391788240121182,0.9525951457362216,89,False
SON,sam,whdi_3,0,-0.05545240452083893,0.5390692125670472,125,False
SON,sam,whdi_3,1,-0.12480728059363234,0.1620911895119452,127,False
SON,sam,whdi_3,2,-0.037894539209622824,0.6723103267632966,127,False
SON,sam,whdi_3,3,0.034865505307264955,0.6994896574473353,125,False
SON,sam,whdi_3,4,-0.0125746179940944,0.8897564755150885,124,False
SON,sam,whdi_3,5,-0.12289140078029798,0.17568715522742526,123,False
SON,sam,whdi_3,6,-0.12211941437344764,0.18024912412034863,122,False
SON,sam,whdi_3,7,-0.1240701268823162,0.17514688901547082,121,False
SON,sam,whdi_3,8,0.12818842581418494,0.16292554347400665,120,False
SON,sam,whdi_3,9,0.08159098830373161,0.3818322985583422,117,False
SON,sam,whdi_3,10,-0.00019789725930136753,0.9983030363299119,118,False
SON,sam,whdi_3,11,-0.11645449766413155,0.20917726072478998,118,False
SON,sam,whdi_3,12,-0.00358729759818488,0.9692465163998001,118,False
SON,sam,wind_std,0,-0.1650081444817795,0.05138205131200695,140,False
SON,sam,wind_std,1,-0.1014717392540011,0.23459645849920047,139,False
SON,sam,wind_std,2,-0.1336286022719853,0.11816595535459619,138,False
SON,sam,wind_std,3,0.028698764159211358,0.7392088713019742,137,False
SON,sam,wind_std,4,0.04841048469879937,0.5757006654608977,136,False
SON,sam,wind_std,5,-0.052084665742919964,0.5485401405967101,135,False
